das Beispiel;przykład
zum Beispiel/z. B.;na przykład
bekannt;znany
der/die Bekannte;znamy/znajoma
bekommen;dostawać
Kannst du mir ein Beispiel sagen?;Czy możesz mi podać przykład?
Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.;Wielu z moich krewnych, na przykład moi dwaj bracia, pracuje również tutaj.
Picasso ist sehr bekannt.;Picasso jest bardzo znany.
Ein Bekannter von mir heißt Klaus.;Jeden z moich znajomych nazywa się Klaus.
Haben Sie meinen Brief bekommen?;Czy otrzymali państwo mój list?
