die Disco;dyskoteka
der Doktor;doktor, lekarz
das Doppelzimmer;pokój dwuosobowy
das Dorf;wieś
dort;tam
Heute abend gehen wir in die Disco tanzen.;Dziś wieczorem idziemy potańczyć do dyskoteki.
Meine Tochter ist krank. Wir gehen zum Doktor.;Moja córka jest chora. Idziemy do lekarza.
Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?;Czy chciałby Pan/Pani pokój dwuosobowy czy jednoosobowy?
Meine Familie lebt in einem Dorf.;Moja rodzina mieszka w wiosce.
Deine Tasche kannst du dorthin stellen.;Możesz postawić swoją torbę tam.
