mitbringen;przynosić ze sobą
mitkommen;wchodzić razem, przychodzić razem
mitmachen;uczestniczyć, brać udział
mitnehmen;brać ze sobą
die Mitte;środek
Ich gehe einkaufen. Soll ich dir was mitbringen?;Idę na zakupy. Czy mam Ci coś przynieść?
Ich gehe ins Kino. Kommst du mit?;Idę do kina. Idziesz ze mną?
Warum macht ihr nicht mit?;Dlaczego się nie dołączacie?
Nehmen wir meine Schwester ins Kino mit?;Czy zabierzemy moją siostrę do kina?
Der Lehrer steht in der Mitte des Klassenzimmers.;Nauczyciel stoi w środku sali lekcyjnej.
